room_count,area,crawl_date,latitude,longitude
4,"Rg Baruah Road",24-07-2016,26.16618281,91.77741357
16,"G.S. Road",24-07-2016,26.1783205,91.7530844
35,"Odalbakra Main Road",24-07-2016,26.1446451,91.7842783
18,"G.S. Road",03-07-2016,26.1445169,91.7362365
11,"Boarding Road",24-07-2016,26.9830194,94.6343144
70,"A T Road",24-07-2016,26.1816884,91.7482538
12,"Marvadi Patti,Puja Ghat",24-07-2016,27.4728327,94.9119621
25,other,24-07-2016,26.4767394,90.5593121
15,"Paltan Bazar",24-07-2016,26.1789915,91.7535627
